no,name,gubun,do,sigungu,address,주요시설 일반야영장,주요시설 자동차야영장,주요시설 글램핑,주요시설 카라반,주요시설 개인 카라반,주요시설 덤프스테이션,사이트 크기1 가로,사이트 크기2 가로,사이트 크기3 가로,사이트 크기1 세로,사이트 크기2 세로,사이트 크기3 세로,사이트 크기1 수량,사이트 크기2 수량,사이트 크기3 수량,인허가일자,화로대,부대시설,주변이용가능시설,소화기 개수,방화수 개수,방화사 개수,화재감지기 개수,테마환경,캠핑장비대여,반려동물출입,longitude,latitude
3742,이스트 몽 블루 카라반 캠핑,민간,제주특별자치도,제주시,제주특별자치도 제주시 구좌읍 종달동길 73-1,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2022.11.28,개별,"무선인터넷,장작판매,트렘폴린,물놀이장","수상레저,해수욕",0,0,0,0,일출명소,,가능(소형견),,
3743,연화동권역 야영장,지자체,경상남도,의령군,경상남도 의령군 낙서면 여의리 287-5 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022.11.30,,,,0,0,0,0,,,,,
3745,쏘쿨이네 글램핑,민간,경기도,포천시,경기 포천시 이동면 화동로 2359,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,2022.12.1,개별,"전기,무선인터넷,장작판매,온수,물놀이장",계곡 물놀이,0,0,0,0,"여름물놀이,가을단풍명소,겨울눈꽃명소",,가능(소형견),,
3746,대양 야영장,민간,경상북도,칠곡군,경북 칠곡군 가산면 호국로 1252-21,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022.12.8,개별,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,산책로,운동장,운동시설,마트_편의점","계곡 물놀이,산책로",6,0,0,0,"봄꽃여행,여름물놀이,가을단풍명소,걷기길",,가능(소형견),,
3747,알맹이캠핑,민간,경기도,포천시,경기 포천시 내촌면 금강로3046번길 106,0,0,14,16,0,0,0,0,0,0,0,0,0,0,0,2022.12.14,개별,"전기,무선인터넷,장작판매,온수,물놀이장,산책로,운동시설",,0,0,0,0,"가을단풍명소,겨울눈꽃명소",,가능,,
3748,가나캠핑장,민간,경상북도,경주시,경북 경주시 내남면 안심길 357,14,14,0,0,0,0,0,0,0,0,0,0,14,0,0,2022.12.6,개별,"전기,무선인터넷,장작판매,온수,산책로,운동시설","계곡 물놀이,산책로,어린이놀이시설",15,0,0,0,"봄꽃여행,여름물놀이,가을단풍명소,걷기길",,가능(소형견),,
3749,주식회사 수피아 캠핑체험장,민간,대전광역시,유성구,대전 유성구 갑동로15번길 32 (갑동),7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,2022.8.8,개별,"전기,무선인터넷,장작판매,온수,놀이터,운동시설","계곡 물놀이,산책로",12,0,0,7,걷기길,,가능(소형견),,
3750,캠핑 굄성,민간,충청남도,홍성군,충남 홍성군 홍북읍 홍북로 810,12,20,0,0,0,0,0,0,0,0,0,0,6,8,6,2022.12.21,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,운동시설,마트_편의점",산책로,11,0,0,0,"여름물놀이,걷기길",릴선,가능(소형견),,
3751,GO(지오)글램핑,민간,충청북도,괴산군,충북 괴산군 청천면 대티길 284,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2022.12.8,개별,"전기,무선인터넷,장작판매,온수,물놀이장,운동시설","계곡 물놀이,산책로",5,0,0,5,"여름물놀이,가을단풍명소",,가능,,
3752,그라디언트,,경상북도,칠곡군,경북 칠곡군 동명면 구남로 93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022.12.5,,,,0,0,0,0,,,,,
