no,name,gubun,do,sigungu,address,주요시설 일반야영장,주요시설 자동차야영장,주요시설 글램핑,주요시설 카라반,주요시설 개인 카라반,주요시설 덤프스테이션,사이트 크기1 가로,사이트 크기2 가로,사이트 크기3 가로,사이트 크기1 세로,사이트 크기2 세로,사이트 크기3 세로,사이트 크기1 수량,사이트 크기2 수량,사이트 크기3 수량,인허가일자,화로대,부대시설,주변이용가능시설,소화기 개수,방화수 개수,방화사 개수,화재감지기 개수,테마환경,캠핑장비대여,반려동물출입,longitude,latitude
3405,camp 80,민간,경상북도,경산시,경북 경산시 와촌면 갓바위로 67-25,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,2022.5.12,개별,"전기,무선인터넷,온수,트렘폴린,물놀이장,운동시설",산책로,31,0,0,0,여름물놀이,,가능,128.7880811,35.96565083
3406,왕산골 관광농원,민간,경상북도,구미시,경북 구미시 고아읍 원대로18길 51-14,24,0,0,0,0,0,0,0,0,0,0,0,15,9,0,2022.5.17,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,산책로,운동장,운동시설,마트_편의점","계곡 물놀이,산책로",19,0,0,0,"봄꽃여행,여름물놀이,가을단풍명소,걷기길",,가능,128.3210711,36.19213267
3407,종달 바베큐 캠핑,민간,제주특별자치도,제주시,제주특별자치도 제주시 구좌읍 세종로 353,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,2022.5.18,개별,,,0,0,0,0,,,불가능,126.8907009,33.49878852
3408,신박힐링캠프,민간,경상남도,하동군,경남 하동군 적량면 삼화실로 759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022.5.18,,,,0,0,0,0,,,,127.7586309,35.1385259
3409,강천캠핑장,민간,경기도,여주시,경기 여주시 강천면 강천로 265,18,0,0,0,0,0,0,0,0,0,0,0,12,0,0,2022.5.20,개별,"전기,무선인터넷,장작판매,온수,물놀이장,운동시설","산책로,운동장,낚시",12,2,0,3,"수상레저,봄꽃여행,여름물놀이","텐트,릴선",가능,127.7169022,37.24176918
3410,산너미목장,민간,강원도,평창군,강원 평창군 미탄면 산너미길 225-36,0,45,0,0,0,0,0,0,0,0,0,0,45,0,0,2022.5.20,개별,"전기,장작판매,온수,놀이터,운동시설",,0,0,0,0,,,가능(소형견),128.4702636,37.36398689
3411,선도리 갯벌 글램핑장,지자체,충청남도,서천군,충남 서천군 비인면 갯벌체험로 428-13,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2022.5.24,개별,"전기,온수,물놀이장,놀이터,운동시설","산책로,수상레저,해수욕",6,0,0,6,"일몰명소,여름물놀이",,가능,126.5828138,36.13285186
3412,리우 캠핑장,민간,경상북도,문경시,경북 문경시 농암면 청화로 886-402,0,55,0,0,0,0,0,0,0,0,0,0,55,0,0,2022.5.25,,"전기,장작판매,온수,트렘폴린,물놀이장,놀이터,운동장,운동시설,마트_편의점","계곡 물놀이,산책로",30,0,0,0,여름물놀이,,가능(소형견),127.9927628,36.54928179
3413,대둔산 양촌 벤자민 글램핑,민간,충청남도,논산시,충남 논산시 양촌면 바랑산2길 139-18,0,0,12,2,0,0,0,0,0,0,0,0,0,0,0,2022.5.27,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,산책로,운동장,운동시설,마트_편의점",,14,0,0,14,"봄꽃여행,여름물놀이,가을단풍명소,겨울눈꽃명소,걷기길",,가능,127.2823378,36.13330925
3414,상동 선바위골 국민여가캠핑장,지자체,강원도,영월군,강원 영월군 상동읍 선바위길 72,6,0,6,0,0,0,0,0,0,0,0,0,1,1,2,2022.5.30,개별,"전기,무선인터넷,장작판매,온수,놀이터,운동시설",계곡 물놀이,0,0,0,0,"봄꽃여행,여름물놀이,가을단풍명소",,가능,128.8084013,37.13850414
3415,힐링캠프 제이앤엘(J&L),민간,경기도,가평군,경기 가평군 상면 수목원로 300-82,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2022.5.30,개별,"전기,무선인터넷,장작판매,온수,물놀이장,운동시설",,0,0,0,0,가을단풍명소,,불가능,127.3574984,37.75458448
3416,헤이캠프클럽,민간,울산광역시,울주군,울산 울주군 서생면 잿골길 72,0,11,0,16,0,0,0,0,0,0,0,0,11,0,0,2022.5.30,개별,"전기,무선인터넷,장작판매,온수,놀이터,운동시설",,0,0,0,0,"일출명소,일몰명소,걷기길",,불가능,129.3486361,35.36837286
3417,포레스트캐빈앤캠프,민간,충청북도,제천시,충북 제천시 덕산면 월악산로5길 17-141,0,21,0,0,0,0,0,0,0,0,0,0,1,4,16,2022.5.31,개별,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동시설","계곡 물놀이,산책로,어린이놀이시설",12,0,0,0,"낚시,봄꽃여행,여름물놀이,가을단풍명소",,가능,128.145408,36.88845885
3418,두더지CAMP,민간,충청북도,제천시,충북 제천시 한수면 봉화재길 711,12,0,0,0,0,0,0,0,0,0,0,0,12,0,0,2022.5.31,개별,"전기,무선인터넷,장작판매,온수,물놀이장,운동시설","계곡 물놀이,산책로",10,1,0,2,여름물놀이,,가능(소형견),128.1209091,36.94983173
3419,그날이오면,민간,강원도,양양군,강원도 양양군 현북면 어성전리 792-6 ,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022.5.31,개별,"전기,무선인터넷,장작판매,온수,물놀이장,운동시설",계곡 물놀이,0,0,0,0,"봄꽃여행,여름물놀이",,가능,128.6572712,37.94660852
3420,캠핑플레이,민간,경기도,가평군,경기 가평군 북면 논남기길 468-33,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,2016.10.4,개별,,,0,0,0,0,,,불가능,127.4157898,37.96863351
3421,벅스글램핑,민간,전라남도,곡성군,전남 곡성군 입면 청계동로 989-16,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,2022.6.13,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,운동시설","산책로,강/물놀이",17,0,0,17,여름물놀이,,가능,127.2184175,35.31390814
3422,어반티지 캠핑장,민간,인천광역시,강화군,인천 강화군 내가면 연촌길 115-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022.6.7,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,산책로,운동시설",,0,0,0,0,"봄꽃여행,가을단풍명소",,가능,126.4115037,37.73268314
3423,홀리데이캠핑파크,민간,경기도,안산시,경기 안산시 단원구 서위매봉길 14 (대부북동),50,0,0,6,0,,0,0,0,0,0,0,0,0,0,2021.4.23,개별,"전기,무선인터넷,장작판매,온수,운동시설",,0,0,0,0,일몰명소,,가능(소형견),126.5686146,37.28419551
3424,가평캠핑장,민간,경기도,가평군,경기 가평군 상면 임초밤안골로 205,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,2021.3.4,개별,,,0,0,0,0,,,불가능,127.3680093,37.7521716
3425,스마일캠핑장,민간,경기도,포천시,경기 포천시 이동면 금강로 6203,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022.6.17,,,,0,0,0,0,,,,127.3904502,38.08186849
3426,레저빌봉산,민간,경상남도,합천군,경남 합천군 봉산면 서부로 4344-11,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,2020.12.4,개별,,,0,0,0,0,,,불가능,128.0443549,35.62770911
3427,반딧불이,민간,강원도,영월군,강원 영월군 무릉도원면 황정길 165-9,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,2018.6.12,개별,,,0,0,0,0,,,불가능,128.1443926,37.29822239
3428,보랏빛오토캠핑장,민간,강원도,인제군,강원 인제군 상남면 아홉사리로 2848,0,25,0,0,0,0,0,0,0,0,0,0,25,0,0,2022.6.7,개별,"전기,무선인터넷,장작판매,온수,트렘폴린",계곡 물놀이,0,0,0,0,"여름물놀이,가을단풍명소",,가능(소형견),128.2428739,37.84335457
3429,청도 사계절 캠핑장,민간,경상북도,청도군,경북 청도군 운문면 운문로 1436-23,0,31,0,0,0,0,0,0,0,0,0,0,12,2,5,2022.6.2,,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,운동시설,마트_편의점","계곡 물놀이,산책로",16,0,0,0,"봄꽃여행,여름물놀이,가을단풍명소,걷기길",,가능,128.974349,35.68394781
3430,캠프원,민간,경기도,포천시,경기 포천시 이동면 새낭로 621-13,23,16,0,0,0,0,0,0,0,0,0,0,23,0,0,2022.6.15,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,운동시설",,0,0,0,0,"봄꽃여행,여름물놀이,가을단풍명소",,가능(소형견),127.3263447,38.03216858
3431,슈가스파글램핑,민간,경기도,가평군,경기 가평군 북면 가화로 1422-14,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,2020.12.21,개별,,,0,0,0,0,,,불가능,127.5110176,37.90038001
