no,name,gubun,do,sigungu,address,주요시설 일반야영장,주요시설 자동차야영장,주요시설 글램핑,주요시설 카라반,주요시설 개인 카라반,주요시설 덤프스테이션,사이트 크기1 가로,사이트 크기2 가로,사이트 크기3 가로,사이트 크기1 세로,사이트 크기2 세로,사이트 크기3 세로,사이트 크기1 수량,사이트 크기2 수량,사이트 크기3 수량,인허가일자,화로대,부대시설,주변이용가능시설,소화기 개수,방화수 개수,방화사 개수,화재감지기 개수,테마환경,캠핑장비대여,반려동물출입,longitude,latitude
4494,스테이네이처,민간,경기도,양평군,경기 양평군 단월면 곱다니길 97,22,8,2,0,0,0.0,0,0,0,0,0,0,0,0,0,2024.7.9,개별,"전기,무선인터넷,장작판매,온수,운동장,마트_편의점","계곡 물놀이,산책로,운동장,낚시,농어촌체험시설",30,1,0,6,"봄꽃여행,가을단풍명소,걷기길",,불가능,127.658919848778,37.511343946846
4495,람보 캠핑장,민간,충청북도,제천시,충북 제천시 금성면 청풍호로37길 25,15,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,2024.7.16,개별,"전기,장작판매,온수,물놀이장,마트_편의점",,15,4,2,0,,,가능(소형견),128.181068902365,37.0325723695313
4496,필리가 캠핑,민간,강원도,영월군,강원특별자치도 영월군 김삿갓면 두릉골길 11,0,35,0,0,7,0.0,0,0,0,0,0,0,0,0,0,2024.7.15,개별,"전기,장작판매,온수","계곡 물놀이,산책로,강/물놀이",21,0,0,0,,,불가능,128.592946481018,37.1221296885837
4497,구름포해변캠핑장,민간,충청남도,태안군,충남 태안군 소원면 의항리 154,0,20,0,0,0,0.0,0,0,0,0,0,0,0,0,0,2024.7.18,개별,"전기,장작판매,물놀이장,산책로","산책로,낚시,해수욕,농어촌체험시설",13,0,0,0,낚시,"릴선,화로대",가능,126.150870327282,36.8359859558156
4498,스테이 107,민간,전라남도,곡성군,전남 곡성군 삼기면 곡순로 1120,0,0,30,0,0,0.0,0,0,0,0,0,0,0,0,0,2024.7.5,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,산책로,마트_편의점","산책로,운동장,수상레저,낚시,청소년체험시설",40,0,0,35,"액티비티,여름물놀이","텐트,화로대,난방기구,식기,침낭",불가능,127.231435788695,35.2255542395196
4499,소담캠핑장,민간,강원도,화천군,강원특별자치도 화천군 사내면 포화로 322,10,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,2024.7.17,개별,"전기,무선인터넷,장작판매,온수,마트_편의점",계곡 물놀이,5,0,1,0,,,불가능,127.462468584073,38.0864492705968
4500,가평 글램스테이 글램핑 카라반 펜션,민간,경기도,가평군,경기 가평군 조종면 연인산로474번길 91-82,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,2024.7.1,개별,,,0,0,0,0,,,불가능,127.387003393761,37.8444882308014
4501,위고고 제천점,민간,충청북도,제천시,충북 제천시 금성면 청풍호로 1507,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,2024.7.2,개별,,,0,0,0,0,,,불가능,128.18029928842,37.0330084654293
4502,머물고싶은곳 캠핑장,민간,경기도,포천시,경기 포천시 신북면 깊이울로 234-21,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,2024.7.3,개별,,,0,0,0,0,,,불가능,127.166728526091,37.9191235548881
4503,곡식정원(관광농원),민간,전라남도,,전남 무안군 현경면 봉월로 281-11,7,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,2024.7.4,개별,"전기,무선인터넷,온수,트렘폴린,물놀이장,산책로","산책로,낚시,농어촌체험시설",6,0,0,0,"일몰명소,여름물놀이,걷기길","릴선,식기",가능,126.381382910383,35.073955495203
4504,방주캠핑장,민간,강원도,홍천군,강원특별자치도 홍천군 화촌면 도심리길344번길 8,7,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,2024.7.4,개별,"전기,장작판매,온수,마트_편의점","계곡 물놀이,산책로",7,0,0,0,여름물놀이,"릴선,화로대",가능(소형견),127.887924639398,37.7988238444376
4505,캠프나인,민간,강원도,춘천시,강원특별자치도 춘천시 남면 충효로 1752,0,0,7,0,0,0.0,0,0,0,0,0,0,0,0,0,2024.11.7,개별,"전기,무선인터넷,장작판매,온수,물놀이장,마트_편의점","계곡 물놀이,수상레저,낚시,강/물놀이",8,1,1,8,,,불가능,127.570289101048,37.7606896848712
4506,숲속야영장 수만리캠핑,민간,전라남도,화순군,전남 화순군 화순읍 안양산로 616-65,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,2024.7.5,개별,,,0,0,0,0,,,불가능,127.022158553448,35.0886401654892
4507,황산 관광농원,민간,충청남도,아산시,충남 아산시 신정로 200-125 (초사동),0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,2024.7.5,개별,,,0,0,0,0,,,불가능,126.973415413903,36.7377635852177
4508,신선마을휴양지캠핑장,지자체,강원도,삼척시,강원특별자치도 삼척시 노곡면 주지로 90-112,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,2024.7.5,개별,,,0,0,0,0,,,불가능,129.177782873308,37.2851438851794
4509,참새둥지야영장,민간,강원도,속초시,강원특별자치도 속초시 설악산로 239-28 (도문동),0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,2024.7.8,개별,,,0,0,0,0,,,불가능,128.579768479681,38.1629312244593
4510,위더스 캠핑장,민간,경상남도,창원시,경남 창원시 마산합포구 진전면 적석산2길 130,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,2024.7.12,개별,,,0,0,0,0,,,불가능,128.359140638233,35.112204509126
4511,나곡해수욕장,지자체,경상북도,울진군,경북 울진군 북면 나실길 24,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,2024.7.12,,,,0,0,0,0,,,,129.370845236737,37.125881287557
4512,금산 뮤지엄B캠핑장,민간,충청남도,금산군,충남 금산군 복수면 구만길 52,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,2024.7.14,개별,,,0,0,0,0,,,불가능,127.382607819599,36.2591043103776
4513,월악 새터 캠핑장,민간,충청북도,제천시,충북 제천시 덕산면 월악로 1842,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,2024.7.15,개별,,,0,0,0,0,,,불가능,128.112633677946,36.9178722766114
4514,에테르야영장,민간,경기도,가평군,경기 가평군 상면 녹수계곡로 107-10,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,2024.7.15,,,,0,0,0,0,,,,127.393101101122,37.7729832280121
4515,더아리웃집 모롱공간,민간,경기도,가평군,경기 가평군 조종면 운악청계로491번길 133,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,2024.7.15,,,,0,0,0,0,,,,127.346821457645,37.8514349562678
4516,제니캠핑장,민간,강원도,횡성군,강원특별자치도 횡성군 서원면 서원서로 652,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,2024.7.16,개별,"전기,무선인터넷,장작판매,온수,물놀이장,산책로","계곡 물놀이,산책로,수영장,어린이놀이시설",0,0,0,0,여름물놀이,화로대,가능,127.801390044816,37.5090613028313
4517,별누리 천문펜션 야영장,민간,강원도,횡성군,강원특별자치도 횡성군 우천면 전재호수길 133,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,2024.7.16,개별,,,0,0,0,0,,,불가능,128.112004605071,37.4276926834781
4518,블루베리캠핑장,민간,경기도,동두천시,경기 동두천시 쇠목길 356-19 (광암동),8,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,2024.7.17,개별,"전기,장작판매,온수","계곡 물놀이,농어촌체험시설",8,0,0,0,,,가능(소형견),127.112765564054,37.9083672245546
4519,성북동 숲속야영장,지자체,대전광역시,유성구,대전 유성구 성북로 463 (성북동),0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,2024.7.17,개별,,,0,0,0,0,,,불가능,127.281517146125,36.3151801492719
4520,감포송아캠핑장,민간,경상북도,경주시,경북 경주시 감포읍 감포로 395,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,2024.7.18,개별,,,0,0,0,0,,,불가능,129.507311365258,35.8216602596053
